2009.09.03,00:00,131.502,132.552,131.155,131.997,88014
2009.09.04,00:00,132.016,133.245,131.713,132.967,81469
2009.09.07,00:00,132.945,133.871,132.851,133.364,53522
2009.09.08,00:00,133.365,133.858,132.819,133.652,89534
2009.09.09,00:00,133.663,134.405,133.582,133.965,85490
2009.09.10,00:00,133.971,134.372,133.304,133.726,82875
2009.09.11,00:00,133.728,133.811,131.553,132.127,86529
2009.09.14,00:00,131.818,133.057,131.288,132.910,83124
2009.09.15,00:00,132.932,133.769,132.783,133.499,85052
2009.09.16,00:00,133.481,134.025,132.468,133.750,95589
2009.09.17,00:00,133.758,134.776,133.416,134.264,88237
2009.09.18,00:00,134.266,134.609,133.701,134.312,82624
2009.09.21,00:00,134.262,135.483,134.151,134.908,74806
2009.09.22,00:00,134.920,135.335,134.590,134.734,66186
2009.09.23,00:00,134.733,135.205,134.061,134.481,75344
2009.09.24,00:00,134.514,134.672,133.339,133.829,85248
2009.09.25,00:00,133.827,133.872,131.516,131.684,87845
2009.09.28,00:00,131.670,131.780,129.803,131.036,85872
2009.09.29,00:00,131.024,131.783,130.695,131.390,83760
2009.09.30,00:00,131.392,132.013,130.618,131.319,80311
2009.10.01,00:00,131.315,131.796,130.115,130.318,82975
2009.10.02,00:00,130.330,131.233,129.034,130.883,85654
2009.10.05,00:00,130.555,131.651,130.443,131.138,63297
2009.10.06,00:00,131.129,131.563,130.549,130.756,67703
2009.10.07,00:00,130.747,131.089,129.575,130.130,78651
2009.10.08,00:00,130.126,130.942,129.978,130.744,75957
2009.10.09,00:00,130.737,132.297,130.682,132.247,67695
2009.10.12,00:00,131.804,133.326,131.801,132.690,36512
2009.10.13,00:00,132.708,133.506,132.525,133.227,49488
2009.10.14,00:00,133.234,133.756,132.236,133.463,52406
2009.10.15,00:00,133.466,135.384,133.310,135.345,51703
2009.10.16,00:00,135.337,136.064,134.971,135.459,57506
2009.10.19,00:00,135.549,135.908,134.751,135.492,48118
2009.10.20,00:00,135.479,135.834,134.863,135.644,52033
2009.10.21,00:00,135.648,136.959,135.180,136.626,52159
2009.10.22,00:00,136.616,137.415,136.265,137.224,49475
2009.10.23,00:00,137.221,138.353,137.165,138.136,51800
2009.10.26,00:00,138.160,138.486,136.811,137.123,49552
2009.10.27,00:00,137.121,137.375,135.655,135.922,52023
2009.10.28,00:00,135.922,135.948,133.262,133.466,57908
2009.10.29,00:00,133.468,135.982,132.799,135.704,55006
2009.10.30,00:00,135.707,135.906,132.293,132.569,60238
2009.11.02,00:00,131.964,134.514,131.000,133.373,62993
2009.11.03,00:00,133.274,133.974,131.722,132.993,54692
2009.11.04,00:00,132.979,135.720,132.496,134.805,50251
2009.11.05,00:00,134.812,135.153,133.357,134.906,47502
2009.11.06,00:00,134.891,135.131,133.204,133.420,47609
2009.11.09,00:00,133.936,135.068,133.356,134.903,46365
2009.11.10,00:00,134.903,135.378,134.123,134.631,47734
2009.11.11,00:00,134.634,135.345,133.801,134.696,41776
2009.11.12,00:00,134.693,135.016,133.926,134.158,48243
2009.11.13,00:00,134.180,134.445,132.846,133.613,41208
2009.11.16,00:00,133.640,134.326,133.172,133.281,45689
2009.11.17,00:00,133.289,133.581,132.439,132.751,45929
2009.11.18,00:00,132.749,134.013,132.576,133.619,39101
2009.11.19,00:00,133.620,133.749,131.753,132.776,47895
2009.11.20,00:00,132.773,132.941,131.797,132.038,45665
2009.11.23,00:00,131.937,133.603,131.817,133.101,33531
2009.11.24,00:00,133.104,133.242,132.014,132.441,42090
2009.11.25,00:00,132.439,132.683,131.504,132.199,41412
2009.11.26,00:00,132.197,132.306,129.519,130.012,45114
2009.11.27,00:00,130.000,130.148,126.875,129.582,66089
2009.11.30,00:00,130.039,130.808,128.963,129.659,53239
2009.12.01,00:00,129.658,131.266,129.315,130.712,44886
2009.12.02,00:00,130.728,131.972,130.639,131.441,38608
2009.12.03,00:00,131.443,133.545,131.390,132.846,41738
2009.12.04,00:00,132.844,134.541,132.488,134.507,45241
2009.12.07,00:00,133.980,134.343,132.372,132.684,51915
2009.12.08,00:00,132.695,132.707,129.646,129.991,54587
2009.12.09,00:00,129.991,130.455,128.782,129.371,55131
2009.12.10,00:00,129.364,130.351,129.021,129.915,48159
2009.12.11,00:00,129.914,131.601,129.888,130.179,49387
2009.12.14,00:00,130.087,130.632,129.173,129.857,48089
2009.12.15,00:00,129.869,130.734,129.525,130.300,48730
2009.12.16,00:00,130.230,130.781,129.929,130.438,47302
2009.12.17,00:00,130.443,130.673,128.820,128.979,54338
2009.12.18,00:00,128.979,130.018,127.316,129.673,59920
2009.12.21,00:00,129.147,130.365,129.147,130.150,34851
2009.12.22,00:00,130.158,131.069,129.955,130.825,42229
2009.12.23,00:00,130.825,131.463,130.533,131.341,32023
2009.12.24,00:00,131.331,131.866,130.886,131.504,20108
2009.12.28,00:00,131.567,131.916,131.375,131.737,19322
2009.12.29,00:00,131.747,132.596,131.632,132.027,21212
2009.12.30,00:00,132.021,132.773,131.786,132.499,25661
2009.12.31,00:00,132.509,133.587,132.451,133.478,18436
2010.01.04,00:00,132.962,133.781,132.369,133.303,44120
2010.01.05,00:00,133.288,133.451,131.441,131.713,46620
2010.01.06,00:00,131.705,133.476,131.252,132.983,45006
2010.01.07,00:00,132.984,133.652,132.381,133.511,45257
2010.01.08,00:00,133.525,134.115,132.341,133.495,51654
2010.01.11,00:00,133.568,134.368,133.405,133.611,41368
2010.01.12,00:00,133.609,133.802,131.622,131.752,52221
2010.01.13,00:00,131.752,133.208,131.505,132.569,46470
2010.01.14,00:00,132.545,133.630,131.699,132.220,46039
2010.01.15,00:00,132.224,132.389,130.294,130.575,48804
2010.01.18,00:00,130.280,130.933,130.079,130.563,29350
2010.01.19,00:00,130.556,130.699,129.630,130.196,45219
2010.01.20,00:00,130.194,130.310,128.396,128.664,47949
