2008.06.11,1.54661,1.55861,1.54478,1.55518,51224
2008.06.12,1.55516,1.55661,1.53781,1.54376,58768
2008.06.13,1.54372,1.5483,1.5302,1.5379,58278
2008.06.16,1.54058,1.55172,1.5345,1.54765,50342
2008.06.17,1.54766,1.55515,1.54591,1.55101,54900
2008.06.18,1.55103,1.55367,1.54611,1.55342,44245
2008.06.19,1.55337,1.55861,1.54661,1.55041,50815
2008.06.20,1.55035,1.5651,1.5491,1.5606,46782
2008.06.23,1.562,1.56337,1.5468,1.55171,46834
2008.06.24,1.55166,1.56211,1.5491,1.55681,43490
2008.06.25,1.55671,1.56856,1.5536,1.56656,41408
2008.06.26,1.56655,1.57665,1.56278,1.57557,49623
2008.06.27,1.57546,1.5794,1.5719,1.5793,42961
2008.06.30,1.57763,1.58351,1.57307,1.57544,45633
2008.07.01,1.5755,1.58263,1.57221,1.57911,46574
2008.07.02,1.57914,1.58881,1.57766,1.58824,50402
2008.07.03,1.58818,1.59091,1.56811,1.57021,48359
2008.07.04,1.5702,1.5727,1.5653,1.5706,30450
2008.07.07,1.56995,1.57525,1.56107,1.5726,48352
2008.07.08,1.57251,1.57387,1.56341,1.56693,49209
2008.07.09,1.56701,1.57491,1.56491,1.57423,47334
2008.07.10,1.57406,1.58007,1.56905,1.57867,46938
2008.07.11,1.57866,1.5947,1.5765,1.5937,53967
2008.07.14,1.59655,1.59685,1.58407,1.59073,52825
2008.07.15,1.59068,1.60373,1.58662,1.59113,61441
2008.07.16,1.59107,1.59476,1.57996,1.5826,55341
2008.07.17,1.58256,1.58924,1.5783,1.58617,59299
2008.07.18,1.58606,1.5887,1.5807,1.5847,46717
2008.07.21,1.58425,1.59301,1.5827,1.59217,37319
2008.07.22,1.59213,1.59441,1.57578,1.5783,47016
2008.07.23,1.57832,1.57973,1.56697,1.56977,52120
2008.07.24,1.56966,1.57131,1.56271,1.56762,49583
2008.07.25,1.56756,1.5752,1.5661,1.5709,48977
2008.07.28,1.57066,1.57681,1.56836,1.57406,37393
2008.07.29,1.57396,1.57571,1.55526,1.55873,42350
2008.07.30,1.55875,1.56161,1.55211,1.55743,47646
2008.07.31,1.55748,1.56991,1.55688,1.56027,45134
2008.08.01,1.56026,1.56041,1.55574,1.55661,46860
2008.08.04,1.5563,1.56301,1.55538,1.55754,38310
2008.08.05,1.55761,1.55776,1.54413,1.5454,50881
2008.08.06,1.54543,1.55156,1.53975,1.5407,43934
2008.08.07,1.54072,1.55024,1.53091,1.53231,51131
2008.08.08,1.5323,1.5334,1.4997,1.5006,68227
2008.08.11,1.49295,1.50823,1.48791,1.49095,63878
2008.08.12,1.49088,1.49631,1.48147,1.49258,64632
2008.08.13,1.4926,1.49791,1.48428,1.49181,69397
2008.08.14,1.49182,1.49501,1.47768,1.48245,60611
2008.08.15,1.48246,1.48251,1.47528,1.47642,56417
2008.08.18,1.46759,1.47671,1.46712,1.46934,48333
2008.08.19,1.46938,1.47925,1.46301,1.47743,56496
2008.08.20,1.47745,1.48044,1.46716,1.47466,51833
2008.08.21,1.47467,1.49041,1.47301,1.48982,56452
2008.08.22,1.48988,1.49,1.4757,1.4792,48873
2008.08.25,1.4782,1.48071,1.46961,1.47541,16093
2008.08.26,1.47536,1.47591,1.45721,1.46536,30774
2008.08.27,1.46528,1.47751,1.46321,1.47266,32851
2008.08.28,1.47276,1.48106,1.46711,1.47061,30530
2008.08.29,1.47056,1.4767,1.464,1.4673,30395
2008.09.01,1.46945,1.47205,1.45827,1.46171,32621
